LOCATION,SUBURB,Reason Code,Audit Date,full_location,row_index,longitude,latitude,corrected address,extracted_on,inside_victoria_bounds
Blackgate Road,CONNEWARRE (WTQ),ABCD,Jun-18,"Blackgate Road, CONNEWARRE (WTQ)",141,144.3770063,-38.2918309,"Blackgate Rd, Connewarre VIC 3227, Australia",2018-August-06,TRUE
Blackgate Road,MOUNT DUNEED (WTQ),ABCD,Jun-18,"Blackgate Road, MOUNT DUNEED (WTQ)",142,144.2975466,-38.2830712,"Blackgate Rd, Mount Duneed VIC 3217, Australia",2018-August-06,TRUE
Blackshaws Road,ALTONA NORTH,C,Feb-18,"Blackshaws Road, ALTONA NORTH",143,144.8481951,-37.8312192,"Blackshaws Rd, Altona North VIC 3025, Australia",2018-August-06,TRUE
Blackshaws Road,SPOTSWOOD,C,Feb-18,"Blackshaws Road, SPOTSWOOD",144,144.8560283,-37.8320393,"Blackshaws Rd, Victoria, Australia",2018-August-06,TRUE
Bloomfield Road,KEYSBOROUGH,C,Apr-18,"Bloomfield Road, KEYSBOROUGH",145,145.1763062,-37.9857889,"Bloomfield Rd, Keysborough VIC 3173, Australia",2018-August-06,TRUE
Bloomfield Road,NILMA NORTH,BC,Apr-18,"Bloomfield Road, NILMA NORTH",146,145.9836376,-38.1233529,"Bloomfield Rd, Nilma North VIC 3821, Australia",2018-August-06,TRUE
Bluff Road,HAMPTON,ABC,May-18,"Bluff Road, HAMPTON",147,145.0234801,-37.9394969,"Bluff Rd, Hampton VIC 3188, Australia",2018-August-06,TRUE
Blyth Street,ALTONA,BC,Feb-18,"Blyth Street, ALTONA",148,144.8219572,-37.8681294,"Blyth St, Altona VIC 3018, Australia",2018-August-06,TRUE
Bobs Street,WHITE HILLS,BC,May-18,"Bobs Street, WHITE HILLS",149,144.302272,-36.7370359,"Bobs St, White Hills VIC 3550, Australia",2018-August-06,TRUE
Boes Road,TYABB,BC,May-18,"Boes Road, TYABB",150,145.1669455,-38.2732989,"Boes Rd, Tyabb VIC 3913, Australia",2018-August-06,TRUE
Bona Vista Road,BAYSWATER,BC,Jan-18,"Bona Vista Road, BAYSWATER",151,145.2549666,-37.8467189,"Bona Vista Rd, Bayswater VIC 3153, Australia",2018-August-06,TRUE
Bonang Road,ORBOST,AC,Apr-18,"Bonang Road, ORBOST",152,148.5116278,-37.6212046,"Bonang Rd, Orbost VIC 3888, Australia",2018-August-06,TRUE
Boneo Road,ROSEBUD,C,Jul-18,"Boneo Road, ROSEBUD",153,144.8889096,-38.3765749,"Boneo Rd, Rosebud VIC 3939, Australia",2018-August-06,TRUE
Boolarra-Churchill Road,YINNAR,BC,Apr-18,"Boolarra-Churchill Road, YINNAR",154,146.2750661,-38.378707,"Boolarra-Churchill Rd, Boolarra VIC 3870, Australia",2018-August-06,TRUE
Borung Highway,DONALD,C,Apr-18,"Borung Highway, DONALD",155,142.7239272,-36.2883368,"Borung Hwy, Victoria, Australia",2018-August-06,TRUE
Borung Highway,WOOROONOOK,AC,Apr-18,"Borung Highway, WOOROONOOK",156,143.1941443,-36.2608461,"Borung Hwy, Wooroonook VIC 3525, Australia",2018-August-06,TRUE
Botha Avenue,RESERVOIR,C,Apr-18,"Botha Avenue, RESERVOIR",157,145.0010494,-37.7032904,"Botha Ave, Reservoir VIC 3073, Australia",2018-August-06,TRUE
Boundary Road,MORDIALLOC,C,Jun-18,"Boundary Road, MORDIALLOC",158,145.1059094,-37.9976285,"Boundary Rd, Mordialloc VIC 3195, Australia",2018-August-06,TRUE
Boundary Road,NEWCOMB,BC,Apr-18,"Boundary Road, NEWCOMB",159,144.3851785,-38.1652366,"Boundary Rd, Newcomb VIC 3219, Australia",2018-August-06,TRUE
Boundary Road,PASCOE VALE,C,Dec-17,"Boundary Road, PASCOE VALE",160,144.9446869,-37.717369,"Boundary Rd, Pascoe Vale VIC 3044, Australia",2018-August-06,TRUE
Bourke Road,CLARINDA,AC,Jun-18,"Bourke Road, CLARINDA",161,145.1066847,-37.9417489,"Bourke Rd, Clarinda VIC 3169, Australia",2018-August-06,TRUE
Bowden Street,CASTLEMAINE,C,May-18,"Bowden Street, CASTLEMAINE",162,144.210467,-37.0625492,"Bowden St, Castlemaine VIC 3450, Australia",2018-August-06,TRUE
Bowser Road,NORTH WANGARATTA,BC,Apr-18,"Bowser Road, NORTH WANGARATTA",163,146.3579019,-36.3223293,"Bowser Rd, Victoria 3678, Australia",2018-August-06,TRUE
Brady Road,DANDENONG NORTH,C,Apr-18,"Brady Road, DANDENONG NORTH",164,145.2208628,-37.9550496,"Brady Rd, Dandenong North VIC 3175, Australia",2018-August-06,TRUE
Brandy Creek Road,WARRAGUL,AC,Apr-18,"Brandy Creek Road, WARRAGUL",165,145.9263044,-38.1235402,"Brandy Creek Rd, Warragul VIC 3820, Australia",2018-August-06,TRUE
Bree Road,HAMILTON,C,May-18,"Bree Road, HAMILTON",166,142.028048,-37.7312491,"Bree Rd, Hamilton VIC 3300, Australia",2018-August-06,TRUE
Bridge Street,BENALLA,C,Apr-18,"Bridge Street, BENALLA",167,145.9896023,-36.5502652,"Bridge St E, Benalla VIC 3672, Australia",2018-August-06,TRUE
Bridgewater Road,CRAIGIEBURN,C,Dec-17,"Bridgewater Road, CRAIGIEBURN",168,144.9282066,-37.6088746,"Bridgewater Rd, Craigieburn VIC 3064, Australia",2018-August-06,TRUE
Bridgewater Road,PORTLAND,C,May-18,"Bridgewater Road, PORTLAND",169,141.5771393,-38.3401931,"Bridgewater Rd, Portland VIC 3305, Australia",2018-August-06,TRUE
Bridgewater Road,TREWALLA,C,May-18,"Bridgewater Road, TREWALLA",170,141.4949939,-38.348336,"Bridgewater Rd, Victoria 3305, Australia",2018-August-06,TRUE
Bridgewater-Serpentine Road,BRIDGEWATER,C,May-18,"Bridgewater-Serpentine Road, BRIDGEWATER",171,143.9380025,-36.5811623,"Bridgewater-Serpentine Rd, Bridgewater VIC 3516, Australia",2018-August-06,TRUE
Broad Gully Road,DIAMOND CREEK,BC,Apr-18,"Broad Gully Road, DIAMOND CREEK",172,145.1677907,-37.6462293,"Broad Gully Rd, Diamond Creek VIC 3089, Australia",2018-August-06,TRUE
Broadford-Kilmore Road,BROADFORD,C,Apr-18,"Broadford-Kilmore Road, BROADFORD",173,145.0031236,-37.2319649,"Broadford-Kilmore Rd, Broadford VIC 3658, Australia",2018-August-06,TRUE
Broadford-Wandong  Road,BROADFORD,C,Apr-18,"Broadford-Wandong  Road, BROADFORD",174,145.0457098,-37.2367989,"Broadford-Wandong Rd, Broadford VIC 3658, Australia",2018-August-06,TRUE
Broadford-Wandong Road,BROADFORD,C,Apr-18,"Broadford-Wandong Road, BROADFORD",175,145.0457098,-37.2367989,"Broadford-Wandong Rd, Broadford VIC 3658, Australia",2018-August-06,TRUE
Broadmeadows Road,TULLAMARINE,C,Dec-17,"Broadmeadows Road, TULLAMARINE",176,144.8794049,-37.7038521,"Broadmeadows Rd, Tullamarine VIC 3043, Australia",2018-August-06,TRUE
Broadmeadows Road Deviation,WESTMEADOWS,BC,Dec-17,"Broadmeadows Road Deviation, WESTMEADOWS",177,144.892107,-37.6809242,"Broadmeadows Rd, Westmeadows VIC 3049, Australia",2018-August-06,TRUE
Broderick Road,CARRUM DOWNS,BC,May-18,"Broderick Road, CARRUM DOWNS",178,145.1758812,-38.1034417,"Broderick Rd, Carrum Downs VIC 3201, Australia",2018-August-06,TRUE
Broken River Drive,SHEPPARTON,ABC,Apr-18,"Broken River Drive, SHEPPARTON",179,145.4014678,-36.4060558,"Broken River Dr, Shepparton VIC 3630, Australia",2018-August-06,TRUE
Brooke Street,TOWONG,C,Apr-18,"Brooke Street, TOWONG",180,147.9888115,-36.1250837,"Brooke St, Towong VIC 3707, Australia",2018-August-06,TRUE
Brooklyn Road,BROOKFIELD,ABC,Apr-18,"Brooklyn Road, BROOKFIELD",181,144.5471104,-37.6995964,"Brooklyn Rd, Brookfield VIC 3338, Australia",2018-August-06,TRUE
Brown Road,PAKENHAM,B,May-18,"Brown Road, PAKENHAM",182,145.4431844,-38.0438482,"Brown Rd, Pakenham VIC 3810, Australia",2018-August-06,TRUE
Browning Street,ORBOST,BC,Apr-18,"Browning Street, ORBOST",183,148.4564402,-37.7075927,"Browning St, Orbost VIC 3888, Australia",2018-August-06,TRUE
Browning Street,PORTLAND,C,May-18,"Browning Street, PORTLAND",184,141.5922464,-38.3321405,"Browning St, Portland VIC 3305, Australia",2018-August-06,TRUE
Browns Road,BOTANIC RIDGE,B,Jul-18,"Browns Road, BOTANIC RIDGE",185,145.2696598,-38.1507284,"Browns Rd, Botanic Ridge VIC 3977, Australia",2018-August-06,TRUE
Browns Road,CRANBOURNE SOUTH,B,Jul-18,"Browns Road, CRANBOURNE SOUTH",186,145.2606985,-38.1495721,"Browns Rd, Cranbourne South VIC 3977, Australia",2018-August-06,TRUE
Browns Road,NOBLE PARK,C,Apr-18,"Browns Road, NOBLE PARK",187,145.1838054,-37.9508416,"Browns Rd, Noble Park VIC 3174, Australia",2018-August-06,TRUE
Browns Road,NOBLE PARK NORTH,C,Apr-18,"Browns Road, NOBLE PARK NORTH",188,145.1878926,-37.9459712,"Browns Rd, Noble Park North VIC 3174, Australia",2018-August-06,TRUE
Brunswick Road,BRUNSWICK,C,Dec-17,"Brunswick Road, BRUNSWICK",189,144.9613262,-37.7772124,"Brunswick Rd, Brunswick VIC 3056, Australia",2018-August-06,TRUE
Bruthen-Nowa Nowa Road,BRUTHEN,C,Apr-18,"Bruthen-Nowa Nowa Road, BRUTHEN",190,147.8760329,-37.7218695,"Bruthen-Nowa Nowa Rd, Bruthen VIC 3885, Australia",2018-August-06,TRUE
Bruthen-Nowa Nowa Road,NOWA NOWA,C,Apr-18,"Bruthen-Nowa Nowa Road, NOWA NOWA",191,147.9873396,-37.709222,"Bruthen-Nowa Nowa Rd, Nowa Nowa VIC 3887, Australia",2018-August-06,TRUE
Buckley Street,ESSENDON,C,Dec-17,"Buckley Street, ESSENDON",192,144.910641,-37.7562742,"Buckley St, Essendon VIC 3040, Australia",2018-August-06,TRUE
Buckley Street,ESSENDON WEST,C,Dec-17,"Buckley Street, ESSENDON WEST",193,144.8847573,-37.7534074,"Buckley St, Essendon West VIC 3040, Australia",2018-August-06,TRUE
Buckley Street,KEILOR EAST,BC,Dec-17,"Buckley Street, KEILOR EAST",194,144.869149,-37.7515845,"Buckley St, Keilor East VIC 3033, Australia",2018-August-06,TRUE
Bulla Road,BULLA,ABC,Dec-17,"Bulla Road, BULLA",195,144.8052528,-37.6371682,"Bulla Rd, Bulla VIC 3428, Australia",2018-August-06,TRUE
Bulleen Road,BALWYN NORTH,C,Apr-18,"Bulleen Road, BALWYN NORTH",196,145.0770507,-37.7853753,"Bulleen Rd, Balwyn North VIC 3104, Australia",2018-August-06,TRUE
Bullumwaal Road,WY YUNG,BC,Apr-18,"Bullumwaal Road, WY YUNG",197,147.6021024,-37.7851222,"Bullumwaal Rd, Wy Yung VIC 3875, Australia",2018-August-06,TRUE
Bulmans Road,MELTON WEST,C,Apr-18,"Bulmans Road, MELTON WEST",198,144.5541364,-37.6614757,"Bulmans Rd, Melton West VIC 3337, Australia",2018-August-06,TRUE
Bungower Road,MOOROODUC,C,May-18,"Bungower Road, MOOROODUC",199,145.1133664,-38.2329875,"Bungower Rd, Moorooduc VIC 3933, Australia",2018-August-06,TRUE
Bungower Road,SOMERVILLE,ABC,May-18,"Bungower Road, SOMERVILLE",200,145.196559,-38.2385887,"Bungower Rd, Somerville VIC 3912, Australia",2018-August-06,TRUE
Burke Road,GLEN IRIS,C,Jul-18,"Burke Road, GLEN IRIS",201,145.0517987,-37.8568569,"Burke Rd, Glen Iris VIC 3146, Australia",2018-August-06,TRUE
Burke Road,MALVERN EAST,C,Jul-18,"Burke Road, MALVERN EAST",202,145.0491441,-37.8709187,"Burke Rd, Malvern East VIC 3145, Australia",2018-August-06,TRUE
Burns Street,HAMILTON,C,May-18,"Burns Street, HAMILTON",203,142.0146467,-37.7391806,"Burns St, Hamilton VIC 3300, Australia",2018-August-06,TRUE
Burnside Road,BANNOCKBURN,BC,Apr-18,"Burnside Road, BANNOCKBURN",204,144.1765089,-38.0827837,"Burnside Rd, Bannockburn VIC 3331, Australia",2018-August-06,TRUE
Burwood Highway,KNOXFIELD,ABC,Jan-18,"Burwood Highway, KNOXFIELD",205,145.2479056,-37.8732211,"Burwood Hwy, Knoxfield VIC 3180, Australia",2018-August-06,TRUE
Burwood Highway,WANTIRNA,AC,Jan-18,"Burwood Highway, WANTIRNA",206,145.2182815,-37.8633396,"Burwood Hwy, Wantirna VIC 3152, Australia",2018-August-06,TRUE
Burwood Highway,WANTIRNA SOUTH,ABC,Jan-18,"Burwood Highway, WANTIRNA SOUTH",207,145.2231144,-37.8649004,"Burwood Hwy, Wantirna South VIC 3152, Australia",2018-August-06,TRUE
Cairns Road,HAMPTON PARK,BC,Jul-18,"Cairns Road, HAMPTON PARK",208,145.2578436,-38.0385525,"Cairns Rd, Hampton Park VIC 3976, Australia",2018-August-06,TRUE
Calder Alternative Highway,MARONG,C,May-18,"Calder Alternative Highway, MARONG",209,144.1333892,-36.764919,"Calder Alternative Hwy, Marong VIC 3515, Australia",2018-August-06,TRUE
Calder Freeway,DIGGERS REST,ABC,Jul-18,"Calder Freeway, DIGGERS REST",210,144.7187261,-37.6258153,"Calder Highway, Diggers Rest VIC 3427, Australia",2018-August-06,TRUE
Calder Freeway,ELPHINSTONE,ABC,May-18,"Calder Freeway, ELPHINSTONE",211,144.3453929,-37.0944545,"Calder Fwy, Elphinstone VIC 3448, Australia",2018-August-06,TRUE
Calder Freeway,FARADAY,ABC,May-18,"Calder Freeway, FARADAY",212,144.5519791,-37.343297,"Calder Fwy, Victoria, Australia",2018-August-06,TRUE
Calder Freeway,GISBORNE SOUTH,C,Apr-18,"Calder Freeway, GISBORNE SOUTH",213,144.6525841,-37.5483429,"Calder Fwy, Gisborne South VIC 3437, Australia",2018-August-06,TRUE
Calder Freeway,HARCOURT,ABC,May-18,"Calder Freeway, HARCOURT",214,144.2513951,-36.9944826,"Calder Fwy, Harcourt VIC 3453, Australia",2018-August-06,TRUE
Calder Freeway,SUNBURY,AC,Dec-17,"Calder Freeway, SUNBURY",215,144.6779249,-37.5766866,"Calder Fwy, Sunbury VIC 3429, Australia",2018-August-06,TRUE
Calder Highway,BERRIWILLOCK,C,Apr-18,"Calder Highway, BERRIWILLOCK",216,143.0086741,-35.6455505,"Calder Hwy, Berriwillock VIC 3531, Australia",2018-August-06,TRUE
Calder Highway,BRIDGEWATER ON LODDON,C,May-18,"Calder Highway, BRIDGEWATER ON LODDON",217,143.9768281,-36.6239685,"Calder Hwy, Bridgewater VIC 3516, Australia",2018-August-06,TRUE
Calder Highway,CABARITA,C,Jun-18,"Calder Highway, CABARITA",218,142.0889199,-34.2018343,"Calder Hwy, Cabarita VIC 3505, Australia",2018-August-06,TRUE
Calder Highway,CULGOA,C,Apr-18,"Calder Highway, CULGOA",219,143.0828628,-35.7067635,"Calder Hwy, Culgoa VIC 3530, Australia",2018-August-06,TRUE
Calder Highway,DERBY,C,May-18,"Calder Highway, DERBY",220,144.0249074,-36.654389,"Calder Hwy, Derby VIC 3516, Australia",2018-August-06,TRUE
Calder Highway,DUMOSA,C,Apr-18,"Calder Highway, DUMOSA",221,143.2263903,-35.93883,"Calder Hwy, Dumosa VIC 3527, Australia",2018-August-06,TRUE
Calder Highway,GLENALBYN,C,May-18,"Calder Highway, GLENALBYN",222,143.7191187,-36.4897689,"Calder Hwy, Glenalbyn VIC 3517, Australia",2018-August-06,TRUE
Calder Highway,HATTAH,AC,Jun-18,"Calder Highway, HATTAH",223,142.265507,-34.7107469,"Calder Hwy, Hattah VIC 3501, Australia",2018-August-06,TRUE
Calder Highway,KURTING,C,Jul-18,"Calder Highway, KURTING",224,143.8098315,-36.5385605,"Calder Hwy, Kurting VIC 3517, Australia",2018-August-06,TRUE
Calder Highway,LEICHARDT,C,May-18,"Calder Highway, LEICHARDT",225,144.0685771,-36.6819933,"Calder Hwy, Leichardt VIC 3516, Australia",2018-August-06,TRUE
Calder Highway,MAIDEN GULLY,C,May-18,"Calder Highway, MAIDEN GULLY",226,144.2221679,-36.7564697,"Calder Hwy, Maiden Gully VIC 3551, Australia",2018-August-06,TRUE
Calder Highway,MARONG,C,May-18,"Calder Highway, MARONG",227,144.1443258,-36.7367046,"Calder Hwy, Marong VIC 3515, Australia",2018-August-06,TRUE
Calder Highway,MERBEIN,C,Jun-18,"Calder Highway, MERBEIN",228,142.0517793,-34.1623664,"Calder Hwy, Merbein VIC 3505, Australia",2018-August-06,TRUE
Calder Highway,MERBEIN WEST,C,Jun-18,"Calder Highway, MERBEIN WEST",229,142.9957908,-35.6351225,"Calder Hwy, Victoria, Australia",2018-August-06,TRUE
Calder Highway,MILDURA,C,Jun-18,"Calder Highway, MILDURA",230,142.1154656,-34.2238573,"Calder Hwy, Mildura VIC 3500, Australia",2018-August-06,TRUE
Calder Highway,MITTYACK,C,Jun-18,"Calder Highway, MITTYACK",231,142.5981989,-35.1558233,"Calder Hwy, Mittyack VIC 3490, Australia",2018-August-06,TRUE
Calder Highway,NANDALY,C,Apr-18,"Calder Highway, NANDALY",232,142.719109,-35.3091402,"Calder Hwy, Nandaly VIC 3533, Australia",2018-August-06,TRUE
Calder Highway,NINDA,C,Apr-18,"Calder Highway, NINDA",233,142.7759771,-35.4214134,"Calder Hwy, Ninda VIC 3533, Australia",2018-August-06,TRUE
Calder Highway,NULLAWIL,C,Apr-18,"Calder Highway, NULLAWIL",234,143.1824997,-35.8592277,"Calder Hwy, Nullawil VIC 3529, Australia",2018-August-06,TRUE
Calder Highway,OUYEN,ABC,Jun-18,"Calder Highway, OUYEN",235,142.3131204,-34.9955245,"Calder Hwy, Ouyen VIC 3490, Australia",2018-August-06,TRUE
Calder Highway,RED CLIFFS,BC,Jun-18,"Calder Highway, RED CLIFFS",236,142.1864442,-34.3387024,"Calder Hwy, Red Cliffs VIC 3496, Australia",2018-August-06,TRUE
Calder Highway,SEA LAKE,A,Apr-18,"Calder Highway, SEA LAKE",237,142.8513193,-35.5098059,"Calder Hwy, Sea Lake VIC 3533, Australia",2018-August-06,TRUE
Calder Highway,TEDDYWADDY,C,Apr-18,"Calder Highway, TEDDYWADDY",238,143.3337792,-36.1880843,"Calder Hwy, Teddywaddy VIC 3527, Australia",2018-August-06,TRUE
Calder Highway,WARNE,C,Apr-18,"Calder Highway, WARNE",239,143.1278954,-35.7868717,"Calder Hwy, Warne VIC 3530, Australia",2018-August-06,TRUE
Calder Highway,WOOSANG,C,Apr-18,"Calder Highway, WOOSANG",240,143.4704683,-36.3291337,"Calder Hwy, Woosang VIC 3518, Australia",2018-August-06,TRUE
Calder Highway,WYCHEPROOF SOUTH,C,Apr-18,"Calder Highway, WYCHEPROOF SOUTH",241,143.2251942,-36.1232237,"Calder Hwy, Wycheproof South VIC 3527, Australia",2018-August-06,TRUE
Calder Highway,YATPOOL,C,Jun-18,"Calder Highway, YATPOOL",242,142.9957908,-35.6351225,"Calder Hwy, Victoria, Australia",2018-August-06,TRUE
Calder Highway,YELTA,C,Jun-18,"Calder Highway, YELTA",243,142.0086394,-34.1280718,"Calder Hwy, Yelta VIC 3505, Australia",2018-August-06,TRUE
Calder Park Drive,SYDENHAM,ABC,Jul-18,"Calder Park Drive, SYDENHAM",244,144.7560407,-37.6958357,"Calder Park Dr, Sydenham VIC 3037, Australia",2018-August-06,TRUE
Calder Park Drive,TAYLORS HILL,BC,Apr-18,"Calder Park Drive, TAYLORS HILL",245,144.7553239,-37.7142886,"Calder Park Dr, Taylors Hill VIC 3037, Australia",2018-August-06,TRUE
Caledonia Street,ST ANDREWS (NHB),BCD,Jul-18,"Caledonia Street, ST ANDREWS (NHB)",246,145.2752997,-37.5996782,"Caledonia St, St Andrews VIC 3761, Australia",2018-August-06,TRUE
Calvert Street,BAIRNSDALE,C,Apr-18,"Calvert Street, BAIRNSDALE",247,147.5992411,-37.8315752,"Calvert St, Bairnsdale VIC 3875, Australia",2018-August-06,TRUE
Cambden Park Parade,FERNTREE GULLY,BC,Jan-18,"Cambden Park Parade, FERNTREE GULLY",248,145.2611197,-37.8852941,"Cambden Park Parade, Ferntree Gully VIC 3156, Australia",2018-August-06,TRUE
Camelot Drive,GLEN WAVERLEY,C,May-18,"Camelot Drive, GLEN WAVERLEY",249,145.1810364,-37.8669424,"Camelot Dr, Glen Waverley VIC 3150, Australia",2018-August-06,TRUE
Cameron Parade,BUNDOORA,ABC,Apr-18,"Cameron Parade, BUNDOORA",250,145.072941,-37.6986687,"Cameron Parade, Bundoora VIC 3083, Australia",2018-August-06,TRUE
Camp Road,BROADMEADOWS,AC,Dec-17,"Camp Road, BROADMEADOWS",251,144.9361091,-37.6872754,"Camp Rd, Broadmeadows VIC 3047, Australia",2018-August-06,TRUE
Campbell Street,ARARAT,B,Jul-18,"Campbell Street, ARARAT",252,142.9409885,-37.275993,"Campbell St, Ararat VIC 3377, Australia",2018-August-06,TRUE
Campbell Street,WONTHAGGI,BC,Nov-17,"Campbell Street, WONTHAGGI",253,145.5666133,-38.6097766,"Campbell St, Wonthaggi VIC 3995, Australia",2018-August-06,TRUE
Canning Street,AVONDALE HEIGHTS,AC,Dec-17,"Canning Street, AVONDALE HEIGHTS",254,144.8649534,-37.7706036,"Canning St, Avondale Heights VIC 3034, Australia",2018-August-06,TRUE
Canterbury Road,BLACKBURN SOUTH,C,May-18,"Canterbury Road, BLACKBURN SOUTH",255,145.1469762,-37.8317397,"Canterbury Rd, Blackburn South VIC 3130, Australia",2018-August-06,TRUE
Canterbury Road,BOX HILL,C,May-18,"Canterbury Road, BOX HILL",256,145.1260065,-37.8292158,"Canterbury Rd, Box Hill VIC 3128, Australia",2018-August-06,TRUE
Canterbury Road,MONTROSE,BC,Mar-18,"Canterbury Road, MONTROSE",257,145.3301084,-37.8145067,"Canterbury Rd, Montrose VIC 3765, Australia",2018-August-06,TRUE
Cape Nelson Road,PORTLAND,C,May-18,"Cape Nelson Road, PORTLAND",258,141.587247,-38.3722325,"Cape Nelson Rd, Portland VIC 3305, Australia",2018-August-06,TRUE
Cape Otway Road,BIRREGURRA,ABC,Apr-18,"Cape Otway Road, BIRREGURRA",259,143.8694987,-38.3278784,"Cape Otway Rd, Birregurra VIC 3242, Australia",2018-August-06,TRUE
Cape Otway Road,WINCHELSEA,ABC,Apr-18,"Cape Otway Road, WINCHELSEA",260,143.9921758,-38.2957622,"Cape Otway Rd, Winchelsea VIC 3241, Australia",2018-August-06,TRUE
Carnarvon Road,STRATHMORE,C,Dec-17,"Carnarvon Road, STRATHMORE",261,144.9108587,-37.7385453,"Carnarvon Rd, Strathmore VIC 3041, Australia",2018-August-06,TRUE
Carngham Road,BUNKERS HILL,C,Jul-18,"Carngham Road, BUNKERS HILL",262,143.7447506,-37.5622404,"Ballarat-Carngham Rd, Bunkers Hill VIC 3352, Australia",2018-August-06,TRUE
Carngham Road,HADDON,C,Jul-18,"Carngham Road, HADDON",263,143.6997441,-37.5580809,"Ballarat-Carngham Rd, Haddon VIC 3351, Australia",2018-August-06,TRUE
Carrick Drive,GLADSTONE PARK,ABC,Dec-17,"Carrick Drive, GLADSTONE PARK",264,144.8941721,-37.6940709,"Carrick Dr, Gladstone Park VIC 3043, Australia",2018-August-06,TRUE
Carroll Road,OAKLEIGH SOUTH,C,Jun-18,"Carroll Road, OAKLEIGH SOUTH",265,145.0937269,-37.9328594,"Carroll Rd, Oakleigh South VIC 3167, Australia",2018-August-06,TRUE
Casterton-Penola Road,CASTERTON,C,May-18,"Casterton-Penola Road, CASTERTON",266,141.2622875,-37.5880486,"Casterton-Penola Rd, Casterton VIC 3311, Australia",2018-August-06,TRUE
Castlemaine-Maldon Road,MUCKLEFORD,C,May-18,"Castlemaine-Maldon Road, MUCKLEFORD",267,144.1398491,-37.0490583,"Castlemaine-Maldon Rd, Muckleford VIC 3451, Australia",2018-August-06,TRUE
Centenary Avenue,MELTON,C,Apr-18,"Centenary Avenue, MELTON",268,144.5751632,-37.6733531,"Centenary Ave, Victoria 3337, Australia",2018-August-06,TRUE
Centenary Drive,MILL PARK,AC,Apr-18,"Centenary Drive, MILL PARK",269,145.070172,-37.6581424,"Centenary Dr, Mill Park VIC 3082, Australia",2018-August-06,TRUE
Central Road,NUNAWADING,C,May-18,"Central Road, NUNAWADING",270,145.1692807,-37.8247964,"Central Rd, Nunawading VIC 3131, Australia",2018-August-06,TRUE
Centre Dandenong Road,CHELTENHAM,C,Jun-18,"Centre Dandenong Road, CHELTENHAM",271,145.0758315,-37.9678741,"Centre Dandenong Rd, Cheltenham VIC 3192, Australia",2018-August-06,TRUE
Centre Dandenong Road,MOORABBIN AIRPORT,AC,Jun-18,"Centre Dandenong Road, MOORABBIN AIRPORT",272,145.1014664,-37.9710142,"Centre Dandenong Rd, Victoria, Australia",2018-August-06,TRUE
Centre Road,BENTLEIGH EAST,AC,Jun-18,"Centre Road, BENTLEIGH EAST",273,145.0674318,-37.9222277,"Centre Rd, Bentleigh East VIC 3165, Australia",2018-August-06,TRUE
Centre Road,LANGWARRIN,C,Jul-18,"Centre Road, LANGWARRIN",274,145.2085285,-38.1578968,"Centre Rd, Langwarrin VIC 3910, Australia",2018-August-06,TRUE
Centre Road,OAKLEIGH SOUTH,AC,Jun-18,"Centre Road, OAKLEIGH SOUTH",275,145.0961205,-37.9257171,"Centre Rd, Oakleigh South VIC 3167, Australia",2018-August-06,TRUE
Chadstone Road,MALVERN EAST,C,Jul-18,"Chadstone Road, MALVERN EAST",276,145.0789899,-37.8827944,"Chadstone Rd, Malvern East VIC 3145, Australia",2018-August-06,TRUE
Champion Road,NEWPORT,C,Feb-18,"Champion Road, NEWPORT",277,144.8803792,-37.8526083,"Champion Rd, Newport VIC 3015, Australia",2018-August-06,TRUE
Chandler Road,KEYSBOROUGH,BC,Apr-18,"Chandler Road, KEYSBOROUGH",278,145.1821141,-37.993129,"Chandler Rd, Keysborough VIC 3173, Australia",2018-August-06,TRUE
Chapel Road,KEYSBOROUGH,B,Apr-18,"Chapel Road, KEYSBOROUGH",279,145.1602892,-38.0074488,"Chapel Rd, Keysborough VIC 3173, Australia",2018-August-06,TRUE
