row_index,location_long,location_short,longitude,latitude
40,"At the intersection of McIvor Road and Reservoir Road, Strathdale",Strathdale,144.317646,-36.759624
41,"Swan Street at the intersection of Swan Street and Batman Avenue, Melbourne",Melbourne,144.9788582325,-37.823405203059
42,"St Kilda Road at the intersection of St Kilda Road and Kings Way, Melbourne",Melbourne,144.97555911541,-37.836457292668
43,"William Street at the intersection of William Street and Flinders Street, Melbourne",Melbourne,144.96010757983,-37.819782685348
44,"Johnston Street at the intersection of Johnston Street and Hoddle Street, Collingwood",Collingwood,144.992622,-37.799731
45,"Epsom Road at the intersection of Epsom Road and Smithfield Road, Kensington",Kensington,144.92284029722,-37.789033124559
46,"Royal Parade at the intersection of Royal Parade and Cemetery Road West, Carlton North",Carlton North,144.958978,-37.78976
47,"St Georges Road at the intersection of St Georges Road and Normanby Avenue, Thornbury",Thornbury,144.993535,-37.758518
48,"Melville Road at the intersection of Melville Road and Albion Street, Brunswick West",Brunswick West,144.945006,-37.758461
49,"Nicholson Street at the intersection of Nicholson Street and Glenlyon Road, Brunswick",Brunswick,144.979309,-37.773259
50,"Nepean Highway at the intersection of Nepean Highway and Centre Road, Brighton East",Brighton East,145.018179,-37.916187
51,"Waverley Road at the intersection of Waverley Road and Blackburn Road, Glen Waverley",Glen Waverley,145.146067,-37.886853
52,"Springvale Road at the intersection of Springvale Road and High Street Road, Glen Waverley",Glen Waverley,145.16690254211,-37.874230930755
53,"Settlement Road  at the intersection of Settlement Road and Torquay Road, Belmont",Belmont,144.344462,-38.18229
54,"Balaclava Road at the intersection of Balaclava Road and Kooyong Road, Caulfield North",Caulfield North,145.017933,-37.871915
55,"Victoria Street at the intersection of Victoria Street and Swanston Street, Carlton",Carlton,144.962705,-37.806577
56,"Heidelberg Road at the intersection of Heidelberg Road and Station Street, Fairfield",Fairfield,145.017761,-37.783452
57,"Warrigal Road at the intersection of Warrigal Road and Batesford Road, Chadstone",Chadstone,145.091597,-37.875268
58,"Myrtle Street at the intersection of Myrtle Street and High Street, Bendigo",Bendigo,144.270777,-36.76367
59,"Wellington Road at the intersection of Wellington Road and Blackburn Road, Clayton",Clayton,145.139705,-37.916178
60,"Toorak Road at the intersection of Toorak Road and Burke Road, Camberwell",Camberwell,145.054325,-37.8458
61,"Shannon Avenue at the intersection of Shannon Avenue and Aphrasia Street, Newtown",Newtown,144.334557,-38.150047
62,"Nepean Highway at the intersection of Nepean Highway and Davey Street, Frankston",Frankston,145.11984184384,-38.1453839406
63,"Gaffney Street at the intersection of Gaffney Street and Sydney Road, Coburg",Coburg,144.96553301811,-37.73403465187
64,"Warrigal Road at the intersection of Warrigal Road and Batesford Road, Chadstone",Chadstone,145.09168535471,-37.87535305372
65,"Raglan Parade at the intersection of Raglan Parade and Mahoneys Road, Warrnambool",Warrnambool,142.53301620483,-38.384845407281
66,"Sussex Street at the intersection of Sussex Street and O'Hea Street, Pascoe Vale South",Pascoe Vale South,144.94899988174,-37.736109207444
67,"Princes Highway at the intersection of Princes Highway and Huntingdale Road, Oakleigh East",Oakleigh East,145.10524258018,-37.900581485905
68,"Princes Highway at the intersection of Princes Highway and Elonera Road, Noble Park North",Noble Park North,145.18842995167,-37.961481019594
69,"Princes Freeway, Avalon Road Bridge, Melbourne Bound, Lara",Princes Freeway Lara,144.43041086197,-38.030405402883
70,"Princes Street at the intersection of Princes Street and Rathdowne Street, Carlton",Carlton,144.97152641415,-37.792647082946
71,"Princes Freeway, Forsyth Road Bridge, Melbourne Bound, Williams Landing",Princes Freeway Williams Landing,144.73691493273,-37.873284523193
72,"Nepean Highway at the intersection of Nepean Highway and Bungower Road, Mornington",Mornington,145.05688369274,-38.220262309136
73,"Princes Freeway, Avalon Road Bridge, Geelong Bound, Avalon",Princes Freeway Avalon,144.43081855774,-38.030599774054
74,"Hume Freeway, Southbound Mount Fraser, Beveridge",Hume Freeway Beveridge,144.97246384621,-37.460420147255
75,"Hume Highway at the intersection of Hume Highway and Somerton Road, Campbellfield",Campbellfield,144.95126903057,-37.643592941085
76,"Alexandra Parade at the intersection of Alexandra Parade and Brunswick Street, Fitzroy",Fitzroy,144.97944563627,-37.793403766223
77,"Hume Freeway, Southbound Station Street, Wallan East",Hume Freeway Wallan East,145.00546574592,-37.410702694311
78,"Hume Freeway, Northbound Mount Fraser, Beveridge",Hume Freeway Beveridge,144.97217416763,-37.460279628706
79,"West Gate Freeway, Millers Road Gantry, Geelong (West) Bound, Altona North",West Gate Freeway Altona North,144.85342472792,-37.824777041548
