row_index,location_long,location_short,longitude,latitude,lga_code
262,"Elizabeth Street at the intersection of Elizabeth Street and La Trobe Street, Melbourne",Melbourne,144.9613595,-37.81019505,24600
263,"Princes Highway at the intersection of Princes Highway and Pioneer Road, Grovedale",Grovedale,144.3188336,-38.19679856,22750
264,"Princes Highway at the intersection of Princes Highway and Gladstone Road, Dandenong",Dandenong,145.2034315,-37.97506472,22670
265,"Sydney Road at the intersection of Sydney Road and Barry Road, Campbellfield",Campbellfield,144.9549142,-37.66708103,23270
266,"Western Ring Road, Northbound Boundary Road South Side Gantry, Laverton North",Western Ring Road Laverton North,144.8092568,-37.8193531,27260
267,"Dandenong Road at the intersection of Dandenong Road and Chapel Street, St Kilda",St Kilda,144.992111,-37.8575008,26350
268,"Dorset Road at the intersection of Dorset Road and Canterbury Road, Bayswater North",Bayswater North,145.2876207,-37.82583636,24410
269,"Barkly Street at the intersection of Barkly Street and Carlisle Street, St Kilda",St Kilda,144.9812749,-37.86709658,25900
270,"Ringwood Street at the intersection of Ringwood Street and Maroondah Highway, Ringwood",Ringwood,145.2274078,-37.81561331,24410
271,"At the intersection of Maroondah Highway and Mount Dandenong Road, Ringwood",Ringwood,145.237836,-37.810925,24410
272,"Alma Road at the intersection of Alma Road and Chapel Street, St Kilda",St Kilda,144.99147,-37.86142058,25900
273,"Flinders Street at the intersection of Flinders Street and William Street, Melbourne",Melbourne,144.9602571,-37.81961212,24600
274,"At the intersection of Canterbury Road and Mitcham Road, Vermont",Vermont,145.195165,-37.836017,26980
275,"At the intersection of Maroondah Highway and Ringwood Bypass, Ringwood",Ringwood,145.237042,-37.811215,24410
276,"Stud Road at the intersection of Stud Road and Ferntree Gully Road, Scoresby",Scoresby,145.2331223,-37.8993772,23670
277,"Nicholson Street at the intersection of Nicholson Street and Princes Street, Carlton",Carlton,144.975433,-37.793332,24600
278,"Harp Road at the intersection of Harp Road and Burke Road, Kew East",Kew East,145.0623769,-37.80075188,21110
