Period,CSI,Transport Mode,Scale,Measure,Source Document,CSI bracket,year_full,month_short,date_full
Oct-Dec '13,69.3,metro train,0-to-10-scale,security,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2013,Oct,13-Oct-2013
Jan-Mar '14,68.4,metro train,0-to-10-scale,security,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2014,Jan,13-Jan-2014
Apr-Jun'14,69.6,metro train,0-to-10-scale,security,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2014,Apr,13-Apr-2014
Jul-Sep'14,71.0,metro train,0-to-10-scale,security,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2014,Jul,13-Jul-2014
Oct-Dec'14,70.8,metro train,0-to-10-scale,security,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2014,Oct,13-Oct-2014
Jan-Mar'15,70.6,metro train,0-to-10-scale,security,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2015,Jan,13-Jan-2015
Apr-Jun'15,69.8,metro train,0-to-10-scale,security,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2015,Apr,13-Apr-2015
Jul-Sep '15,70.1,metro train,0-to-10-scale,security,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2015,Jul,13-Jul-2015
Oct-Dec’15,71.4,metro train,0-to-10-scale,security,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2015,Oct,13-Oct-2015
Jan-Mar '16,71.8,metro train,0-to-10-scale,security,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2016,Jan,13-Jan-2016
Apr-Jun '16,68.1,metro train,0-to-10-scale,security,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2016,Apr,13-Apr-2016
Jul-Sep '16,68.2,metro train,0-to-10-scale,security,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2016,Jul,13-Jul-2016
Oct-Dec’16,69.0,metro train,0-to-10-scale,security,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2016,Oct,13-Oct-2016
Jan-Mar '17,71.0,metro train,0-to-10-scale,security,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2017,Jan,13-Jan-2017
Apr-Jun '17,70.0,metro train,0-to-10-scale,security,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2017,Apr,13-Apr-2017
Jul-Sep '17,71.1,metro train,0-to-10-scale,security,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2017,Jul,13-Jul-2017
Oct-Dec'17,70.9,metro train,0-to-10-scale,security,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2017,Oct,13-Oct-2017
Oct-Dec '12,73.3,metro tram,0-to-10-scale,on time,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2012,Oct,13-Oct-2012
Jan-Mar '13,74.1,metro tram,0-to-10-scale,on time,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2013,Jan,13-Jan-2013
